Nombre,Circunscripción Territorial,Partido,Correo,Oficina,Teléfono,Facebook,Twitter,Youtube,Instagram
Alfredo Mondragón Garzón,Valle del Cauca,Coalición Pacto Histórico,alfredo.mondragon@camara.gov.co,423 - 511B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 4412,https://www.facebook.com/AlfreMondragonG?mibextid=ZbWKwL,https://twitter.com/AlfreMondragon?t=Fpl70Rtvnuofy88et4OdUw&s=09,,https://www.facebook.com/AlfreMondragonG?mibextid=ZbWKwL
Álvaro Leonel Rueda caballero,Santander,Partido Liberal,alvaro.rueda@camara.gov.co,Mezanine Norte Of 3 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3481 - 5352,https://www.facebook.com/AlvaroRuedaC?mibextid=LQQJ4d,https://twitter.com/alvarolrueda?s=11&t=mrco84BneCotxVp2WkdQfw,,https://instagram.com/alvarolrueda?igshid=YmMyMTA2M2Y=
Ana Paola García Soto,Córdoba,Partido de la U,ana.garcia@camara.gov.co,215B - 216B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3837 - 3847,,https://twitter.com/anapaolagarciau?s=11&t=OD9dmKtdX_o78lbn4DKzEQ,,https://instagram.com/anapgarcias?igshid=MDM4ZDc5MmU=
Ana Rogelia Monsalve Álvarez,"Circ. Esp. Com. Afro, Raizales y Palenqueras",Partido Demócrata Colombiano,ana.monsalve@camara.gov.co,345B - 544B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4304 - 4305,https://www.facebook.com/AnaRogeliaMonsalvea/,https://twitter.com/AnaMonsalveA,https://www.youtube.com/@anarogeliamonsalve7320,https://www.instagram.com/anamonsalvealvarez/
Andrés David Calle Aguas,Córdoba,Partido Liberal,andres.calle@camara.gov.co,236B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 4016,https://www.facebook.com/profile.php?id=100058103978023,https://twitter.com/AndresCalleA,,https://www.instagram.com/andrescallea/
Andrés Eduardo Forero Molina,Bogotá,Centro Democrático,andres.forero@camara.gov.co,519B - 520B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3559 - 3563,https://www.facebook.com/AForeroM/,https://twitter.com/AForeroM,,https://www.instagram.com/andres.forerom/
Andrés Felipe Jiménez Vargas,Antioquia,Partido Conservador Colombiano,andres.jimenez@camara.gov.co,301B - 302B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3809 - 3810,https://www.facebook.com/FelipeJimenezAntioquia,https://twitter.com/FelipeAntioquia,,https://www.instagram.com/felipejimenezantioquia/?hl=en
Andrés Guillermo Montes Celedón,Bolívar,Partido Conservador Colombiano,andres.montes@camara.gov.co,303B - 304B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3684 - 3685,https://www.facebook.com/AndresGuillermoMontesC?mibextid=ZbWKwL,https://twitter.com/andres_montes_?t=4MVuLJ5HrlB0Rb5Gyh2Tuw&s=09,,https://instagram.com/andresguillermomontesc?igshid=YmMyMTA2M2Y=
Ángela María Vergara González,Bolívar,Partido Conservador Colombiano,angela.vergara@camara.gov.co,231B - 232B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3297 - 3298,https://www.facebook.com/angelamariavergaragonzalez?mibextid=LQQJ4d,https://twitter.com/amvergarag?s=21&t=yQlfPHWaXgmnXDmQOnFw6A,,https://instagram.com/angelavergarag?igshid=YmMyMTA2M2Y=
Aníbal Gustavo Hoyos Franco,Risaralda,Partido Liberal,anibal.hoyos@camara.gov.co,545B - 546B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4006 - 4007,https://www.facebook.com/anibalhoyosfranco,https://twitter.com/anibalhoyosf?s=21&t=3jFfULaOn2k1HEL092nrxQ,,https://instagram.com/anibalhoyosfranco?igshid=YmMyMTA2M2Y=
Astrid Sánchez Montes De Oca,Chocó,Partido de la U,astrid.sanchezm@camara.gov.co,Mezanine Sur Of 201- Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3118 - 3124,,,,
Bayardo Gilberto Betancourt Pérez,Nariño,Cambio Radical,bayardo.betancourt@camara.gov.co,502B - 503B - Edificio Nuevo Congreso ,+(57) (601) 8770720 Ext: 4323 - 3514,https://www.facebook.com/GilbertoBetancourt2022/?locale=es_LA,,,
Betsy Judith Pérez Arango,Atlántico,Cambio Radical,betsy.perez@camara.gov.co,419 - 420 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3455 - 3456,https://www.facebook.com/BetsyPerezArango?mibextid=LQQJ4d,https://twitter.com/betsyperez_1?s=21&t=j35B-JnMiPHBkaasJZbNvA,,https://instagram.com/betsyperez_1?igshid=YmMyMTA2M2Y=
Camilo Esteban Ávila Morales,Vaupés,Partido de la U,camilo.avila@camara.gov.co,324B - 325B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3553 - 3745,https://www.facebook.com/camilo.e.avila.7,,,
Carlos Adolfo Ardila Espinosa,Putumayo,Partido Liberal,carlos.ardila@camara.gov.co,635 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 5475,https://www.facebook.com/CarlosardilaE/,https://twitter.com/CARLOSARDILA10,https://youtube.com/@carlosardila10,https://www.instagram.com/carlosardilae
Carlos Alberto Carreño Marin,Bogotá,Partido Comunes,carlos.carreno@camara.gov.co,203B - 411B - Edificio Nuevo Congreso ,+(57) (601) 8770720 Ext: 3834 - 3835,https://www.facebook.com/SergioComunes?mibextid=LQQJ4d,https://twitter.com/SergioComunes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://youtube.com/@sergiomarinrep.alacamarapa1660,https://instagram.com/sergiocomunes?igshid=YmMyMTA2M2Y=
Carlos Alberto Cuenca Chaux,Guainía,Cambio Radical,carlos.cuenca@camara.gov.co,Mezanine Sur Of 101 - Edificio Nuevo Congreso,+(57) (601) 8770720 Ext: 3156 - 3157,,,,
Carlos Arturo Vallejo Beltrán,Meta,Partido Alianza Verde,carlos.vallejo@camara.gov.co,701 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: ,https://www.facebook.com/doctorcarlosvallejo?mibextid=ZbWKwL,,,
Carlos Edward Osorio Aguiar,Tolima,Centro Democrático,carlos.osorio@camara.gov.co,Piso 3 - Capitolio Nacional,+(57) (601) 8770720 Ext: 5304,,,,
Carlos Felipe Quintero Ovalle,Cesar,Partido Liberal,carlos.quintero@camara.gov.co,550B - 620B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 5140 - 5146,https://www.facebook.com/carlosfelipe.quintero.7?mibextid=LQQJ4d,https://twitter.com/carlosfelipeq?s=21&t=SjX15XiUEkFmNNrjoAkomg,,https://instagram.com/carlosfelipequinteroovalle?igshid=NzAzN2Q1NTE=
Carmen Felisa Ramírez Boscán,Ciudadanos en el exterior,Coalición Pacto Histórico,carmen.ramirez@camara.gov.co, 408B - 409B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3432 - 4482,https://www.facebook.com/karmenramirezboscan,https://twitter.com/Wayunkerra,https://www.youtube.com/@karmenramirezboscan8083,https://www.instagram.com/wayunkerra/
Carolina Giraldo Botero,Risaralda,Partido Alianza Verde,carolina.giraldo@camara.gov.co,413B - 414B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4404 - 5540,https://www.facebook.com/CaroGiraldoBotero,https://twitter.com/CaroGiraBo,https://www.youtube.com/@CaroGiraBo,https://instagram.com/carogirabo?igshid=YmMyMTA2M2Y=
Catherine Juvinao Clavijo,Bogotá,Partido Alianza Verde,catherine.juvinao@camara.gov.co,Piso 3 - Capitolio Nacional,+(57) (601) 8770720 Ext: 5475 - 5476,https://www.facebook.com/FueraVagos?mibextid=LQQJ4d,https://twitter.com/cathyjuvinao?s=21&t=zeXfGzYItfSe6RRD2UK4RA,,https://instagram.com/cathy_juvinao?igshid=YmMyMTA2M2Y=
César Cristian Gómez Castro,Cauca,Partido Liberal,cesar.gomez@camara.gov.co,229B - 230B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3504 - 3505,,,,
Christian Munir Garcés Aljure,Valle del Cauca,Centro Democrático,christian.garces@camara.gov.co,618B - 619B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3656 - 3658,https://www.facebook.com/christian.garcesaljure?mibextid=LQQJ4d,https://twitter.com/ChriGarces?s=20,https://www.youtube.com/@christiangarces859,https://instagram.com/chrigarces?igshid=YmMyMTA2M2Y=
Ciro Antonio Rodríguez Pinzón,Norte de Santander,Partido Conservador Colombiano,ciro.rodriguez@camara.gov.co,Mezanine Norte Of 1 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3223 - 3776,,,,
Cristian Danilo Avendaño Fino,Santander,Partido Alianza Verde,cristian.avendano@camara.gov.co,504 - 505 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3594 - 3598,,,,
Cristóbal Caicedo Angulo,Valle del Cauca,Coalición Pacto Histórico,cristobal.caicedo@camara.gov.co,527 - 537 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4464 - 4471,https://www.facebook.com/@CRISTOBALCAICEDOCAMARADEREPRESENTANTES/,https://twitter.com/CRISTOBALCAIC10?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,https://instagram.com/cristobalcaicedo22?igshid=NDk5N2NlZjQ=
Daniel Carvalho Mejía,Antioquia,Coalición Centro Esperanza,daniel.carvalho@camara.gov.co,527B - 537B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext:,https://www.facebook.com/CARVALHOporAntioquia?mibextid=9R9pXO,https://twitter.com/davalho,,https://instagram.com/davalho?igshid=NzZlODBkYWE4Ng==
Daniel Restrepo Carmona,Antioquia,Partido Conservador Colombiano,daniel.restrepo@camara.gov.co,202 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3543 - 3588,https://www.facebook.com/DanielRestreepoC?mibextid=LQQJ4d,https://twitter.com/danielrestrepoc?s=21&t=tauYHRM8ZJR9ibo9uQZLEQ,,https://instagram.com/danielrestrepoc_?igshid=YmMyMTA2M2Y=
David Ricardo Racero Mayorca,Bogotá,Coalición Pacto Histórico,david.racero@camara.gov.co,604 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3635,https://www.facebook.com/DavidRaceroM,https://twitter.com/DavidRacero,,https://www.instagram.com/davidracerom/?utm_medium=copy_link
David Alejandro Toro Ramírez,Antioquia,Coalición Pacto Histórico,alejandro.toro@camara.gov.co,304 - 305 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3496 - 3499,https://www.facebook.com/alejandro.toro1?mibextid=LQQJ4d,https://twitter.com/AlejoToroAnt?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,https://instagram.com/alejotoroant?igshid=YmMyMTA2M2Y=
Delcy Esperanza Isaza Buenaventura,Tolima,Partido Conservador Colombiano,delcy.isaza@camara.gov.co,432B - 433B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3330 - 3657,https://www.facebook.com/DelcyIsazaB?mibextid=LQQJ4d,https://twitter.com/delcyisaza?lang=es,https://youtube.com/@delcyesperanzaisazabuenave8960,https://instagram.com/delcyisaza?igshid=ZWQyN2ExYTkwZQ==
Diego Fernando Caicedo Navas,Cundinamarca,Partido de la U,diego.caicedo@camara.gov.co,644B - 645B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4090,https://www.facebook.com/diegocaicedon?mibextid=ZbWKwL,,,https://instagram.com/diegocaicedo1?igshid=YmMyMTA2M2Y=
Diego Patiño Amariles,Risaralda,Partido Liberal,diego.patino@camara.gov.co,515B - 516B - Edificio Nuevo Congreso,+(57) (601) 8770720 Ext: 4170 - 4171 ,,,,
Diógenes Quintero Amaya,Circ. Trans. Esp. de Paz (CITREP),Asociación de Familias Desplazadas de Hacarí,diogenes.quintero@camara.gov.co,336B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3805 - 3806,,,,
Dolcey Oscar Torres Romero,Atlántico,Partido Liberal,dolcey.torres@camara.gov.co,646B - 647B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4094 - 4095,https://www.facebook.com/dolceytorresro,https://twitter.com/dolceytorresr,,https://www.instagram.com/dolceytorres/
Dorina Hernández Palomino,Bolívar,Coalición Pacto Histórico,dorina.hernandez@camara.gov.co,309B - 310B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3336,https://www.facebook.com/chadorinah/,https://twitter.com/chadorinah?lang=en,,https://www.instagram.com/chadorinah/
Duvalier Sánchez Arango,Valle del Cauca,Partido Alianza Verde,duvalier.sanchez@camara.gov.co,504B - 505B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3482,https://m.facebook.com/duvaliersan,https://twitter.com/DuvalierSanchez,,https://www.instagram.com/duvaliersanchez/?hl=en
Edinson Vladimir Olaya Mancipe,Casanare,Centro Democrático,edinson.olaya@camara.gov.co,536 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3575,,,,
Eduard Alexis Triana Rincón,Boyacá,Centro Democrático,eduar.triana@camara.gov.co,305B - 306B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3329,https://www.facebook.com/EduarTrianaR?mibextid=LQQJ4d,https://x.com/eduartrianar?s=11&t=x6QMhv8pS3ZmvUXFVUA5Gw,,https://instagram.com/eduartrianar?igshid=MzRlODBiNWFlZA==
Eduard Giovanny Sarmiento Hidalgo,Cundinamarca,Coalición Pacto Histórico,eduard.sarmiento@camara.gov.co,506B - 509B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 4484,,,,
Elizabeth Jay-Pang Díaz,San Andrés y Providencia,Partido Liberal,elizabeth.jay-pang@camara.gov.co,411 - 413 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3404,,,,
Elkin Rodolfo Ospina Ospina,Antioquia,Partido Alianza Verde,elkin.ospina@camara.gov.co,444b - 445B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3120 - 3148,https://www.facebook.com/elkinospinaospina,https://twitter.com/elkinospinao?s=09,https://youtube.com/channel/UCd6nhnQ83_YPw43kwCXvNGA,https://instagram.com/elkinospinaospina?igshid=YmMyMTA2M2Y=
Erick Adrián Velasco Burbano,Nariño,Coalición Pacto Histórico,erick.velasco@camara.gov.co,317B - 318B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3353 - 3354,https://www.facebook.com/erickvelascocamara?mibextid=LQQJ4d,https://twitter.com/eravelasco?s=11&t=n8CmzL45YxGa5k-uDE_C6Q,,https://instagram.com/eravelasco?igshid=YmMyMTA2M2Y=
Erika Tatiana Sánchez Pinto,Santander,Ninguno,erika.sanchez@camara.gov.co,Mezanine Sur - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3110 - 3115,https://web.facebook.com/HRErikaSanchez,https://twitter.com/erikatatianasn2?lang=es,,https://www.instagram.com/hrerikasanchez_/
Ermes Evelio Pete Vivas,Cauca,Coalición Pacto Histórico,ermes.pete@camara.gov.co,628B - 629B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3680 - 3681,https://www.facebook.com/ErmesPeteRepresentante?mibextid=ZbWKwL,,,https://instagram.com/peteermes?igshid=YmMyMTA2M2Y=
Etna Tamara Argote Calderón,Bogotá,Coalición Pacto Histórico,etna.argote@camara.gov.co,426B - 427B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3467 - 3469,https://www.facebook.com/TamaraArgotePactemos?mibextid=LQQJ4d,https://twitter.com/tamaraargote?s=21&t=-ETsNnuPZDa3jkVEsIFstA,,https://instagram.com/tamaraargote?igshid=YmMyMTA2M2Y=
Fernando David Niño Mendoza,Bolívar,Partido Conservador Colombiano,fernando.nino@camara.gov.co,523B - 524B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 5168,,,,
Flora Perdomo Andrade,Huila,Partido Liberal,flora.perdomo@camara.gov.co,409 - 410 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3434 - 3435,https://www.facebook.com/floritaperdomo,https://twitter.com/florita_perdomo,,http://Instagram.com/floritaperdomo
Gabriel Becerra Yañez,Bogotá,Coalición Pacto Histórico,gabriel.becerra@camara.gov.co,634B - 635B - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3828,,,,
Gabriel Ernesto Parrado Durán,Meta,Coalición Pacto Histórico,gabriel.parrado@camara.gov.co,609 - 610 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 5344 - 5345,https://www.facebook.com/ParradoGabrieI?mibextid=LOOJ4d,https://twitter.com/GabrielParradoD,,https://www.instaqram.com/qabrieIoarradod/?next=%2F
Gerardo Yepes Caro,Tolima,Partido Conservador Colombiano,gerardo.yepes@camara.gov.co,435B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3793 - 4433,https://www.facebook.com/SoyGerardoYepesCaro?mibextid=LQQJ4d,https://twitter.com/gerardoyepes_?s=21&t=85292jzDvX3fRIrrutk7gw,,https://instagram.com/gerardoyepescaro?igshid=YmMyMTA2M2Y=
Germán José Gómez López,Atlántico,Partido Comunes,german.gomez@camara.gov.co,218 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3826,https://www.facebook.com/German.Gomez.Comunes?mibextid=ZbWKwL,https://twitter.com/GermanComunes?t=-Zqmo8or0SPBBNoEcaXIQg&s=08,,https://instagram.com/germangomezcomunes?igshid=OGQ5ZDc2ODk2ZA==
Germán Rogelio Rozo Anís,Arauca,Partido Liberal,german.rozo@camara.gov.co,223B - 224B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3287 - 3288,https://www.facebook.com/germanrozoanis/,https://twitter.com/GERMANROZOANIS,,https://www.instagram.com/germanrozoanis/
Gersel Luis Pérez Altamiranda,Atlántico,Cambio Radical,gersel.perez@camara.gov.co,627 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3617 - 3618,https://www.facebook.com/GerselPerez,https://twitter.com/gerselperez?s=11&t=yBFhKFAwna0DqSlhUjhktw,,https://instagram.com/gerselperezaltamiranda?igshid=YmMyMTA2M2Y=
Gerson Lisímaco Montaño Arizala,Circ. Trans. Esp. de Paz (CITREP),Corporación Red de Consejos Comunitarios del Pacífico Sur Recompas,gerson.montano@camara.gov.co,446B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 4331,https://www.facebook.com/people/Gerson-Lisimaco-Monta%C3%B1o-Arizala/100077167217295/,https://twitter.com/gersonlisi?lang=es,,https://instagram.com/gerson_lisimaco?igshid=NTc4MTIwNjQ2YQ==
Gildardo Silva Molina,Valle del Cauca,Coalición Pacto Histórico,gildardo.silva@camara.gov.co,,+(57) (601) 8770720 Ext:,https://www.facebook.com/profile.php?id=1235680903&mibextid=LQQJ4d,https://x.com/gildardosilvaph?s=21,,https://www.instagram.com/gildardosilvaph?igsh=bWV2bHVlc3N2a2Zx
Gilma Díaz Arias,Caquetá,Partido Liberal,gilma.diaz@camara.gov.co,547B - 548B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 4010,https://www.facebook.com/L101GilmaDiaz?mibextid=LQQJ4d,,,https://instagram.com/gilmadepacheco?igshid=OGQ5ZDc2ODk2ZA==
Gloria Elena Arizabaleta Corral,Valle del Cauca,Coalición Pacto Histórico,gloria.arizabaleta@camara.gov.co,631B - 632B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3687,https://www.facebook.com/GloriaEArizabaleta,https://twitter.com/GloArizabaleta?t=AiuNpOrbalFy0DRd3osdtA&s=09,,https://instagram.com/gloriaearizabaleta?igshid=YmMyMTA2M2Y=
Gloria Liliana Rodríguez Valencia,Cundinamarca,Partido Alianza Verde,gloria.rodriguez@camara.gov.co,522 - 523 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3653 - 3654,,,,
Haiver Rincón Gutiérrez,Circ. Trans. Esp. de Paz (CITREP),Asociación Víctimas Núcleo Santiago Pérez,haiver.rincon@camara.gov.co,621 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3669 - 3670,https://www.facebook.com/haiver.rincongutierrez/,https://twitter.com/HaiverRinconRC,,https://www.instagram.com/haiver.rincon/
Héctor David Chaparro Chaparro,Boyacá,Partido Liberal,hector.chaparro@camara.gov.co,613B - 614B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3652,https://www.facebook.com/hectordchaparroc/,https://twitter.com/hectordchaparro?lang=es,,https://www.instagram.com/hectordchaparro/
Héctor Mauricio Cuéllar Pinzón,Caquetá,Partido Conservador Colombiano,hector.cuellar@camara.gov.co,528 - 530 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3639 - 3638,https://www.facebook.com/MauricioCuellarC103?mibextid=LQQJ4d,,,https://instagram.com/mauricio_cuellarp?igshid=NzZlODBkYWE4Ng==
Heraclito Landinez Suárez,Bogotá,Coalición Pacto Histórico,heraclito.landinez@camara.gov.co,Piso 2 - Capitolio Nacional,+(57) (601) 8770720 Ext: 3174 - 3233,,,,
Hernán Darío Cadavid Márquez,Antioquia,Centro Democrático,hernan.cadavid@camara.gov.co,423B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3465,https://www.facebook.com/hernancadavidma?mibextid=LQQJ4d,https://twitter.com/hernancadavidma?s=21&t=qVHICuUmZoXurSDbVBEtTg,https://youtube.com/@hernancadavidma,https://instagram.com/hernancadavidma?igshid=MzRlODBiNWFlZA==
Jorge Méndez Hernández,San Andrés y Providencia,Cambio Radical,jorge.mendez@camara.gov.co,221B - 222B - Edificio Nuevo Congreso ,+(57) (601) 8770720 Ext: 3284 - 3285,,,,
Hernando Guida Ponce,Magdalena,Partido de la U,hernando.guida@camara.gov.co,330 - 331 - Edificio Nuevo del Congreso ,+(57) (601) 8770720 Ext: 3375 - 3377,,,,
Hernando González,Valle del Cauca,Cambio Radical,hernando.gonzalez@camara.gov.co,307B - 308B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3061 - 3062,https://www.facebook.com/hernandogonzalezcali,https://twitter.com/ProfeGonzalezH,,https://www.instagram.com/profegonzalezh/
Hugo Alfonso Archila Suárez,Casanare,Partido Liberal,hugo.archila@camara.gov.co,326B - 327B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3388 - 3389,https://www.facebook.com/HugoArchila2022/,https://twitter.com/hugoarchila2022,,https://www.instagram.com/hugo_archila_20/
Hugo Danilo Lozano Pimiento,Vaupés,Centro Democrático,hugo.lozano@camara.gov.co,517B - 518B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3497 - 3498,https://www.facebook.com/hlozanopimiento/?locale=es_LA,https://twitter.com/DaniloPimiento,,https://www.instagram.com/hudalpi/
Ingrid Johana Aguirre Juvinao,Magdalena,Movimiento Fuerza Ciudadana,ingrid.aguirre@camara.gov.co,324 - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3820,https://www.facebook.com/ingridaguirre11?mibextid=LQQJ4d,https://x.com/ingridaguirre11?s=11&t=uGO1xq4XV0ULjwOge8aF2Q,,https://instagram.com/ingrid_aguirre12?igshid=MzRlODBiNWFlZA==
Ingrid Marlen Sogamoso Alfonso,Boyacá,Partido Conservador Colombiano,ingrid.sogamoso@camara.gov.co,402B - 403B - Edificio Nuevo del Congreso,+(57) (601) 8770720 Ext: 3421,https://www.facebook.com/SogamosoIngrid?mibextid=LQQJ4d,https://x.com/ingridsogamoso?s=21&t=zoJId7JtoOjLdLKT3xVLIQ,,https://instagram.com/ingridsogamoso?igshid=MzRlODBiNWFlZA==
